Geneid	GeneType	Group	Dif_D6_1_S4	Dif_D6_2_S3	Dif_D6_3_S2	Dif_D6_4_S1	Undif_D2_1_S8	Undif_D2_2_S7	Undif_D2_3_S6	Undif_D2_4_S5
ENSMUSG00000099289.3	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000076140.3	miRNA	non_conding_RNA	5221	3001	4235	3532	100	308	301	320
ENSMUSG00000115780.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000052713.10	protein_coding	coding_genes	18	39	51	47	0	6	10	2
ENSMUSG00000111969.2	processed_pseudogene	pseudogenes	0	1	0	6	0	0	0	0
ENSMUSG00000081599.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000091604.3	protein_coding	coding_genes	0	0	0	0	0	0	0	0
ENSMUSG00000065536.4	miRNA	non_conding_RNA	687	1329	1480	1076	216	580	105	146
ENSMUSG00000034532.10	protein_coding	coding_genes	25	15	11	26	0	6	18	0
ENSMUSG00000104127.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000055048.8	lncRNA	long_non_conding_RNA	0	0	2	4	0	0	0	2
ENSMUSG00000113397.2	processed_pseudogene	pseudogenes	10	2	1	11	0	0	0	1
ENSMUSG00000084245.2	processed_pseudogene	pseudogenes	0	0	0	0	0	1	0	0
ENSMUSG00000114615.2	lncRNA	long_non_conding_RNA	6	0	0	0	0	0	0	0
ENSMUSG00000109759.2	lncRNA	long_non_conding_RNA	0	0	0	3	0	0	0	1
ENSMUSG00000037017.16	protein_coding	coding_genes	23	13	17	15	0	9	3	7
ENSMUSG00000102673.2	TEC	unconfirmed_genes	0	3	4	7	0	0	3	0
ENSMUSG00000048592.10	transcribed_processed_pseudogene	pseudogenes	1	0	3	0	1	0	0	1
ENSMUSG00000040054.18	protein_coding	coding_genes	343	270	317	268	23	68	36	56
ENSMUSG00000094733.2	protein_coding	coding_genes	0	0	0	0	0	0	0	1
ENSMUSG00002075482.1	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000035459.19	protein_coding	coding_genes	89	49	83	84	27	39	46	42
ENSMUSG00000107256.2	TEC	unconfirmed_genes	10	9	8	8	0	0	0	0
ENSMUSG00000082791.4	processed_pseudogene	pseudogenes	25	27	22	37	0	14	3	5
ENSMUSG00000001228.15	protein_coding	coding_genes	119	150	97	150	4	54	62	92
ENSMUSG00002076700.1	rRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000039058.12	protein_coding	coding_genes	3	5	5	7	2	0	1	2
ENSMUSG00000101508.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000117744.2	protein_coding	coding_genes	2	3	6	4	0	0	0	2
ENSMUSG00000092230.2	processed_pseudogene	pseudogenes	4	5	8	0	0	3	0	1
ENSMUSG00000087374.2	lncRNA	long_non_conding_RNA	21	9	6	11	2	0	4	4
ENSMUSG00000110778.2	processed_pseudogene	pseudogenes	0	1	3	0	0	0	0	0
ENSMUSG00000071138.5	protein_coding	coding_genes	5	0	0	0	0	0	0	0
ENSMUSG00000059482.16	protein_coding	coding_genes	22	48	27	32	1	6	15	16
ENSMUSG00000081626.4	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000120217.1	lncRNA	long_non_conding_RNA	3	1	3	1	0	4	0	1
ENSMUSG00000113424.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000029007.9	protein_coding	coding_genes	72	87	116	73	10	12	6	6
ENSMUSG00000099799.7	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000086209.2	lncRNA	long_non_conding_RNA	2	8	2	4	0	0	0	0
ENSMUSG00000101482.2	processed_pseudogene	pseudogenes	4	4	5	8	0	0	0	0
ENSMUSG00000023008.19	protein_coding	coding_genes	33	33	44	27	4	11	1	8
ENSMUSG00000102700.2	TEC	unconfirmed_genes	0	0	0	0	0	0	0	0
ENSMUSG00000118007.2	lncRNA	long_non_conding_RNA	0	0	2	1	0	0	0	0
ENSMUSG00000084755.2	processed_pseudogene	pseudogenes	6	2	12	7	0	0	0	0
ENSMUSG00000111970.3	lncRNA	long_non_conding_RNA	9	7	15	6	0	3	1	0
ENSMUSG00000106065.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000120191.1	lncRNA	long_non_conding_RNA	13	11	5	2	3	9	3	5
ENSMUSG00000051238.7	protein_coding	coding_genes	11	0	9	12	0	4	0	2
ENSMUSG00000100317.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000116553.2	processed_pseudogene	pseudogenes	0	2	0	0	0	0	0	0
ENSMUSG00000025050.9	protein_coding	coding_genes	28	22	34	46	4	7	7	20
ENSMUSG00000040514.7	protein_coding	coding_genes	0	0	2	1	0	0	0	0
ENSMUSG00002075992.1	miRNA	non_conding_RNA	4	2	14	5	0	0	0	0
ENSMUSG00000087401.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000034151.14	protein_coding	coding_genes	2	4	2	4	0	0	0	3
ENSMUSG00000105949.2	processed_pseudogene	pseudogenes	1	3	1	4	0	0	0	0
ENSMUSG00000018666.14	protein_coding	coding_genes	87	68	99	73	14	22	12	14
ENSMUSG00000024188.17	protein_coding	coding_genes	62	75	81	79	1	9	15	19
ENSMUSG00000077396.3	snRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000099826.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000029556.13	protein_coding	coding_genes	9	8	3	11	0	1	2	7
ENSMUSG00000114050.2	lncRNA	long_non_conding_RNA	0	0	1	0	0	0	0	0
ENSMUSG00000109194.2	lncRNA	long_non_conding_RNA	23	27	16	34	1	8	12	9
ENSMUSG00000087884.3	snoRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000064855.3	snRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000027998.12	protein_coding	coding_genes	56	43	53	46	11	13	11	11
ENSMUSG00000103446.2	IG_V_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000119682.1	snoRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000113934.2	processed_pseudogene	pseudogenes	0	1	1	1	0	0	0	0
ENSMUSG00000083564.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000101992.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00002076255.1	misc_RNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000108029.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000038456.10	protein_coding	coding_genes	103	84	71	99	1	8	16	28
ENSMUSG00000048226.6	protein_coding	coding_genes	0	1	3	4	0	0	0	0
ENSMUSG00000117299.2	processed_pseudogene	pseudogenes	4	0	2	4	0	0	0	2
ENSMUSG00000051748.3	protein_coding	coding_genes	1	2	2	0	0	2	0	0
ENSMUSG00000022838.15	protein_coding	coding_genes	8	13	6	9	0	6	4	6
ENSMUSG00000118517.2	processed_pseudogene	pseudogenes	0	0	3	0	0	0	0	0
ENSMUSG00000081061.2	processed_pseudogene	pseudogenes	0	0	0	2	0	0	0	0
ENSMUSG00000093003.3	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000088147.3	snoRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000106575.2	TEC	unconfirmed_genes	4	0	0	0	0	0	0	2
ENSMUSG00000029491.8	protein_coding	coding_genes	30	25	36	26	4	4	7	9
ENSMUSG00000046861.10	protein_coding	coding_genes	36	28	19	22	1	0	4	1
ENSMUSG00000043051.18	protein_coding	coding_genes	6	8	11	5	0	2	9	1
ENSMUSG00000033728.15	protein_coding	coding_genes	41	30	16	24	0	5	1	8
ENSMUSG00000091669.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000063273.12	protein_coding	coding_genes	169	140	173	144	6	50	48	34
ENSMUSG00000065481.3	miRNA	non_conding_RNA	223	134	199	196	423	821	156	256
ENSMUSG00000086693.3	lncRNA	long_non_conding_RNA	11	3	4	3	1	0	6	2
ENSMUSG00000102255.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000036898.17	protein_coding	coding_genes	35	30	39	33	0	5	8	2
ENSMUSG00000109221.2	processed_pseudogene	pseudogenes	3	1	4	1	0	0	0	0
ENSMUSG00000021240.7	protein_coding	coding_genes	52	38	66	50	0	6	8	2
ENSMUSG00000084190.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000073103.3	lncRNA	long_non_conding_RNA	5	8	9	5	0	0	0	2
ENSMUSG00000057751.15	protein_coding	coding_genes	50	46	64	53	0	5	11	1
ENSMUSG00000112743.2	protein_coding	coding_genes	0	0	0	0	0	0	0	0
ENSMUSG00000030811.15	protein_coding	coding_genes	216	192	203	209	17	47	46	62
ENSMUSG00000031738.15	protein_coding	coding_genes	11	0	3	4	0	0	0	0
ENSMUSG00000085528.2	lncRNA	long_non_conding_RNA	1	3	0	1	0	4	0	0
ENSMUSG00000033981.15	protein_coding	coding_genes	22	14	11	18	4	4	1	5
ENSMUSG00000026005.16	protein_coding	coding_genes	22	28	56	32	1	6	8	6
ENSMUSG00000117326.2	processed_pseudogene	pseudogenes	0	1	0	0	0	0	0	0
ENSMUSG00000110240.2	lncRNA	long_non_conding_RNA	3	3	7	4	0	0	0	0
ENSMUSG00000105384.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000007603.10	protein_coding	coding_genes	38	29	25	29	4	2	4	6
ENSMUSG00002076765.1	miRNA	non_conding_RNA	0	0	1	0	0	0	0	0
ENSMUSG00000081208.2	processed_pseudogene	pseudogenes	21	30	14	20	6	17	8	8
ENSMUSG00000120848.1	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000106602.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000092295.2	processed_pseudogene	pseudogenes	0	0	0	0	0	3	0	0
ENSMUSG00000099261.3	miRNA	non_conding_RNA	8	6	18	12	6	22	1	3
ENSMUSG00000055761.15	protein_coding	coding_genes	5	7	5	15	0	0	1	0
ENSMUSG00000018914.6	protein_coding	coding_genes	6	16	25	13	0	0	1	5
ENSMUSG00000045581.8	protein_coding	coding_genes	1	0	0	1	0	0	0	0
ENSMUSG00000029175.18	protein_coding	coding_genes	59	66	72	45	3	5	9	10
ENSMUSG00000086720.2	lncRNA	long_non_conding_RNA	9	3	7	1	0	3	0	0
ENSMUSG00000104219.2	TEC	unconfirmed_genes	0	0	2	0	0	2	0	0
ENSMUSG00000113489.2	protein_coding	coding_genes	0	0	0	0	0	0	0	0
ENSMUSG00000084337.2	processed_pseudogene	pseudogenes	0	0	3	0	0	0	0	0
ENSMUSG00000114707.2	TEC	unconfirmed_genes	6	5	5	9	1	0	1	1
ENSMUSG00000102765.2	IG_V_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000109731.2	lncRNA	long_non_conding_RNA	1	2	4	0	0	0	0	5
ENSMUSG00000042962.6	processed_pseudogene	pseudogenes	14	21	5	14	2	1	4	3
ENSMUSG00000020899.17	protein_coding	coding_genes	75	96	101	90	10	35	44	32
ENSMUSG00000022025.14	protein_coding	coding_genes	3	5	0	4	0	0	0	1
ENSMUSG00002075574.1	misc_RNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000044390.6	protein_coding	coding_genes	5	0	13	4	0	0	0	11
ENSMUSG00000107348.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000047545.6	protein_coding	coding_genes	0	0	5	7	0	0	0	0
ENSMUSG00000098070.2	processed_pseudogene	pseudogenes	0	3	1	2	0	0	1	1
ENSMUSG00000099408.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000031789.18	protein_coding	coding_genes	12	22	13	24	0	0	7	8
ENSMUSG00000020467.16	protein_coding	coding_genes	56	34	19	79	0	1	2	0
ENSMUSG00000117836.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000105894.2	TEC	unconfirmed_genes	10	0	5	4	0	0	1	1
ENSMUSG00000094825.9	protein_coding	coding_genes	0	0	0	0	0	0	0	0
ENSMUSG00000081718.2	processed_pseudogene	pseudogenes	3	1	14	6	3	0	3	1
ENSMUSG00000087466.4	lncRNA	long_non_conding_RNA	1	1	3	3	0	1	1	0
ENSMUSG00000016503.19	protein_coding	coding_genes	7	9	2	3	1	7	4	0
ENSMUSG00000024999.8	protein_coding	coding_genes	15	17	30	14	1	13	8	13
ENSMUSG00000103028.2	processed_pseudogene	pseudogenes	1	1	6	5	0	0	0	0
ENSMUSG00000097954.2	processed_pseudogene	pseudogenes	0	3	2	2	0	0	1	0
ENSMUSG00000022013.5	protein_coding	coding_genes	79	49	44	50	3	14	10	3
ENSMUSG00000058297.17	protein_coding	coding_genes	20	21	26	34	0	5	8	7
ENSMUSG00000113516.2	lncRNA	long_non_conding_RNA	0	4	4	1	1	0	0	0
ENSMUSG00000059461.8	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000051579.11	protein_coding	coding_genes	3	2	8	11	1	0	3	3
ENSMUSG00000108540.2	processed_pseudogene	pseudogenes	79	23	46	86	0	4	1	6
ENSMUSG00000092322.9	protein_coding	coding_genes	2	0	0	0	0	0	0	0
ENSMUSG00000101574.2	lncRNA	long_non_conding_RNA	0	0	0	2	0	1	0	0
ENSMUSG00000074359.3	protein_coding	coding_genes	1	2	1	2	0	6	0	0
ENSMUSG00000113999.2	processed_pseudogene	pseudogenes	17	17	4	12	0	0	3	2
ENSMUSG00000046354.4	protein_coding	coding_genes	0	0	0	0	0	0	0	0
ENSMUSG00000082910.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000120283.1	lncRNA	long_non_conding_RNA	0	6	2	7	1	5	0	1
ENSMUSG00000022076.11	protein_coding	coding_genes	48	16	28	40	0	1	0	1
ENSMUSG00000111013.3	lncRNA	long_non_conding_RNA	5	6	5	4	0	0	1	2
ENSMUSG00000106157.3	lncRNA	long_non_conding_RNA	6	0	5	2	0	0	0	0
ENSMUSG00000051147.11	protein_coding	coding_genes	3	6	2	8	2	0	0	0
ENSMUSG00000016554.10	protein_coding	coding_genes	80	81	74	82	7	14	11	28
ENSMUSG00002075601.1	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000060480.6	protein_coding	coding_genes	0	0	0	0	0	0	1	0
ENSMUSG00000079871.5	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000116645.2	lncRNA	long_non_conding_RNA	1	0	0	0	0	0	1	0
ENSMUSG00000091131.2	protein_coding	coding_genes	0	0	0	0	0	0	0	0
ENSMUSG00000019039.15	protein_coding	coding_genes	9	12	11	11	6	3	4	2
ENSMUSG00000056515.10	protein_coding	coding_genes	17	23	9	5	14	21	33	26
ENSMUSG00000084847.8	lncRNA	long_non_conding_RNA	1	0	1	8	0	0	0	0
ENSMUSG00000105921.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000005232.12	protein_coding	coding_genes	9	0	1	0	0	1	0	1
ENSMUSG00000077488.3	snoRNA	non_conding_RNA	0	0	0	0	0	0	2	0
ENSMUSG00000099918.2	processed_pseudogene	pseudogenes	3	0	1	0	0	0	0	0
ENSMUSG00000098580.3	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000075551.5	protein_coding	coding_genes	0	0	1	2	0	0	0	0
ENSMUSG00000053390.17	protein_coding	coding_genes	13	24	11	22	0	0	10	3
ENSMUSG00000114142.2	processed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000109286.2	TEC	unconfirmed_genes	5	4	5	8	0	0	1	2
ENSMUSG00000064280.15	protein_coding	coding_genes	3	2	7	7	1	2	0	0
ENSMUSG00000071369.12	protein_coding	coding_genes	27	27	22	35	1	14	7	10
ENSMUSG00000119774.1	snRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000101601.2	lncRNA	long_non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000054459.9	protein_coding	coding_genes	4	12	3	5	0	0	0	3
ENSMUSG00000096197.4	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000103538.4	unprocessed_pseudogene	pseudogenes	0	0	1	1	0	0	0	0
ENSMUSG00000043635.13	protein_coding	coding_genes	33	30	10	12	1	5	6	2
ENSMUSG00002076347.1	rRNA	non_conding_RNA	0	7	0	2	0	0	0	0
ENSMUSG00000038879.9	protein_coding	coding_genes	27	22	55	23	14	9	18	10
ENSMUSG00000027012.16	protein_coding	coding_genes	148	104	145	126	10	12	19	28
ENSMUSG00000078680.4	protein_coding	coding_genes	0	0	0	0	0	0	0	0
ENSMUSG00000042298.19	protein_coding	coding_genes	21	16	18	29	9	7	13	5
ENSMUSG00000120310.1	lncRNA	long_non_conding_RNA	8	16	3	12	3	5	0	1
ENSMUSG00000117271.2	processed_pseudogene	pseudogenes	0	0	2	1	0	0	0	0
ENSMUSG00000118609.2	unprocessed_pseudogene	pseudogenes	1	0	0	0	0	0	0	0
ENSMUSG00002074893.1	miRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000106667.2	IG_V_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000081153.2	processed_pseudogene	pseudogenes	12	3	6	1	0	0	0	0
ENSMUSG00000120793.1	lncRNA	long_non_conding_RNA	0	0	1	0	0	0	0	0
ENSMUSG00000104730.2	processed_pseudogene	pseudogenes	0	0	1	0	0	0	0	0
ENSMUSG00000098727.2	lncRNA	long_non_conding_RNA	0	4	0	0	0	0	0	0
ENSMUSG00000048292.4	protein_coding	coding_genes	5	16	6	10	4	6	2	1
ENSMUSG00000077515.3	snoRNA	non_conding_RNA	0	0	0	0	0	0	0	0
ENSMUSG00000086785.2	processed_pseudogene	pseudogenes	2	2	2	7	0	0	4	0
ENSMUSG00000065573.3	miRNA	non_conding_RNA	159	71	131	77	15	33	1	5
ENSMUSG00000102347.2	unprocessed_pseudogene	pseudogenes	0	0	0	0	0	0	0	0
ENSMUSG00000053268.8	protein_coding	coding_genes	2	8	6	6	1	5	1	1
