"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","OBSERVED_MIRNA","OE"
"HCN2","hyperpolarization-activated, cyclic nucleotide-gated K+ 2","0","0","3","0.636476"
"USP8","ubiquitin specific peptidase 8","1","0","9","0.636476"
"HAND2","heart and neural crest derivatives expressed transcript 2","0","1","6","0.624466"
"GPM6A","glycoprotein m6a","0","0","20","0.619789"
"HSP90B1","heat shock protein 90, beta (Grp94), member 1","4","0","4","0.612904"
"TGIF1","TGFB-induced factor homeobox 1","0","0","6","0.612904"
"TMEM39B","transmembrane protein 39b","0","0","2","0.612904"
"ABCB7","ATP-binding cassette, sub-family B (MDR/TAP), member 7","1","0","5","0.612903"
"1190005F20RIK","RIKEN cDNA 1190005F20 gene","0","0","1","0.612902"
"ARHGAP32","Rho GTPase activating protein 32","0","0","1","0.612902"
"EFEMP2","epidermal growth factor-containing fibulin-like extracellular matrix protein 2","0","0","1","0.612902"
"ROPN1","ropporin, rhophilin associated protein 1","0","0","1","0.612902"
"TXNDC11","thioredoxin domain containing 11","0","0","1","0.612902"
"SKP1A","S-phase kinase-associated protein 1A","7","0","8","0.604508"
"GADD45A","growth arrest and DNA-damage-inducible 45 alpha","3","4","6","0.601762"
"FOS","FBJ osteosarcoma oncogene","8","28","8","0.596336"
"NPAS4","neuronal PAS domain protein 4","0","0","5","0.586822"
"HOXD10","homeobox D10","0","0","7","0.585044"
"ZMYM2","zinc finger, MYM-type 2","0","0","7","0.585044"
"ADCY2","adenylate cyclase 2","13","0","8","0.580646"
"KRT27","keratin 27","0","0","2","0.580646"
"PBXIP1","pre-B-cell leukemia transcription factor interacting protein 1","0","0","2","0.580646"
"CDH10","cadherin 10","0","0","4","0.580645"
"NCBP1","nuclear cap binding protein subunit 1","2","0","4","0.580645"
"TDRD7","tudor domain containing 7","0","0","3","0.570634"
"1110012J17RIK","RIKEN cDNA 1110012J17 gene","0","0","10","0.568673"
"RFX1","regulatory factor X, 1 (influences HLA class II expression)","0","0","9","0.564149"
"RGS17","regulator of G-protein signaling 17","0","0","5","0.56287"
"MAP3K9","mitogen-activated protein kinase kinase kinase 9","1","2","7","0.551614"
"HC","hemolytic complement","4","0","3","0.551613"
"RAI2","retinoic acid induced 2","0","0","3","0.551613"
"CIRH1A","cirrhosis, autosomal recessive 1A (human)","0","0","1","0.551612"
"EXOSC8","exosome component 8","1","0","1","0.551612"
"IGSF8","immunoglobulin superfamily, member 8","0","0","1","0.551612"
"NKX2-9","NK2 transcription factor related, locus 9 (Drosophila)","0","0","1","0.551612"
"RBM17","RNA binding motif protein 17","1","0","1","0.551612"
"NR2C2AP","nuclear receptor 2C2-associated protein","0","0","5","0.540797"
"WDR20B","WD repeat domain 20b","0","0","4","0.538159"
"YTHDF2","YTH domain family 2","0","0","8","0.538159"
"EIF1B","eukaryotic translation initiation factor 1B","1","0","3","0.533818"
"SNX2","sorting nexin 2","0","0","5","0.530394"
"NEUROG1","neurogenin 1","0","0","4","0.525346"
"CACNA1A","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit","5","0","2","0.525345"
"ST7","suppression of tumorigenicity 7","0","0","2","0.525345"
"TMEM9B","TMEM9 domain family, member B","0","0","9","0.522581"
"EMX2","empty spiracles homolog 2 (Drosophila)","0","0","7","0.521794"
"SCHIP1","schwannomin interacting protein 1","0","0","7","0.521794"
"NPTN","neuroplastin","0","0","11","0.518611"
"PLCL2","phospholipase C-like 2","0","0","6","0.517138"
"VPS24","vacuolar protein sorting 24 (yeast)","1","0","3","0.517137"
"ARX","aristaless related homeobox","0","0","7","0.514838"
"NOL4","nucleolar protein 4","0","0","14","0.514838"
"HOXA5","homeobox A5","0","0","8","0.513129"
"SPHK2","sphingosine kinase 2","5","0","4","0.513128"
"UBE2D1","ubiquitin-conjugating enzyme E2D 1, UBC4/5 homolog (yeast)","2","0","9","0.511805"
"BC017612","cDNA sequence BC017612","0","0","5","0.510753"
"TRIM3","tripartite motif-containing 3","0","0","5","0.510753"
"COL2A1","collagen, type II, alpha 1","4","0","8","0.507229"
"1110017D15RIK","RIKEN cDNA 1110017D15 gene","0","0","1","0.501466"
"ATP5C1","ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1","5","0","1","0.501466"
"CASD1","CAS1 domain containing 1","0","0","3","0.501466"
"COX5A","cytochrome c oxidase, subunit Va","6","0","1","0.501466"
"FGF21","fibroblast growth factor 21","4","0","1","0.501466"
"FKBP2","FK506 binding protein 2","0","0","1","0.501466"
"LMO1","LIM domain only 1","0","0","3","0.501466"
"SLC10A3","solute carrier family 10 (sodium/bile acid cotransporter family), member 3","0","0","2","0.501466"
"SLC39A5","solute carrier family 39 (metal ion transporter), member 5","0","0","1","0.501466"
"TMEM165","transmembrane protein 165","0","0","2","0.501466"
"ZMYND17","zinc finger, MYND domain containing 17","0","0","1","0.501466"
"AGFG1","ArfGAP with FG repeats 1","0","0","14","0.498231"
"PSAP","prosaposin","1","0","6","0.493983"
"ACBD3","acyl-Coenzyme A binding domain containing 3","0","0","13","0.491163"
"MBNL1","muscleblind-like 1 (Drosophila)","0","0","20","0.490323"
"NOG","noggin","1","1","4","0.490323"
"PLS3","plastin 3 (T-isoform)","0","0","9","0.486718"
"BAZ2A","bromodomain adjacent to zinc finger domain, 2A","0","0","18","0.484343"
"ZFHX4","zinc finger homeodomain 4","0","0","20","0.483871"
"WNT1","wingless-related MMTV integration site 1","5","5","7","0.482663"
"TGIF2","TGFB-induced factor homeobox 2","0","0","8","0.479664"
"ATP1A1","ATPase, Na+/K+ transporting, alpha 1 polypeptide","8","0","2","0.479663"
"BARHL2","BarH-like 2 (Drosophila)","0","0","6","0.479663"
"LRRN1","leucine rich repeat protein 1, neuronal","0","0","6","0.479663"
"COPS2","COP9 (constitutive photomorphogenic) homolog, subunit 2 (Arabidopsis thaliana)","0","0","13","0.478064"
"BIRC6","baculoviral IAP repeat-containing 6","1","0","11","0.477776"
"CAPRIN2","caprin family member 2","0","0","5","0.47553"
"ID2","inhibitor of DNA binding 2","1","0","5","0.47553"
"DLL1","delta-like 1 (Drosophila)","1","1","6","0.472812"
"GPBP1","GC-rich promoter binding protein 1","0","0","6","0.472812"
"ATXN1","ataxin 1","0","0","18","0.472811"
"FAM184A","family with sequence similarity 184, member A","0","0","3","0.472811"
"PACS2","phosphofurin acidic cluster sorting protein 2","0","0","3","0.472811"
"SLAIN1","SLAIN motif family, member 1","0","0","7","0.470889"
"UBE2D3","ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)","2","0","12","0.469457"
"PDCD10","programmed cell death 10","0","0","9","0.46835"
"ANKRD52","ankyrin repeat domain 52","0","0","19","0.467886"
"EIF4A2","eukaryotic translation initiation factor 4A2","1","3","11","0.46675"
"PI4KB","phosphatidylinositol 4-kinase, catalytic, beta polypeptide","3","0","6","0.46615"
"VAPA","vesicle-associated membrane protein, associated protein A","1","0","6","0.46615"
"CAMK1","calcium/calmodulin-dependent protein kinase I","0","5","1","0.459678"
"CKS1B","CDC28 protein kinase 1b","2","1","2","0.459678"
"DUS2L","dihydrouridine synthase 2-like (SMM1, S. cerevisiae)","0","0","2","0.459678"
"PABPC1","poly(A) binding protein, cytoplasmic 1","1","1","2","0.459678"
"SNRPD1","small nuclear ribonucleoprotein D1","2","0","1","0.459678"
"STAT4","signal transducer and activator of transcription 4","1","7","1","0.459678"
"ANKIB1","ankyrin repeat and IBR domain containing 1","0","0","17","0.459677"
"NLK","nemo like kinase","3","1","14","0.456957"
"PATL1","protein associated with topoisomerase II homolog 1 (yeast)","1","0","12","0.456507"
"D230025D16RIK","RIKEN cDNA D230025D16 gene","0","0","11","0.456222"
"PLK2","polo-like kinase 2 (Drosophila)","0","0","5","0.452143"
"RAB34","RAB34, member of RAS oncogene family","0","0","5","0.452143"
"1300001I01RIK","RIKEN cDNA 1300001I01 gene","0","0","8","0.450297"
"LIMD2","LIM domain containing 2","0","0","8","0.450297"
"WASL","Wiskott-Aldrich syndrome-like (human)","5","3","16","0.450297"
"INO80","INO80 homolog (S. cerevisiae)","0","0","10","0.448466"
"HS3ST1","heparan sulfate (glucosamine) 3-O-sulfotransferase 1","1","0","3","0.447253"
"IRX5","Iroquois related homeobox 5 (Drosophila)","0","0","3","0.447253"
"NTF3","neurotrophin 3","2","0","3","0.447253"
"ELAVL2","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)","0","0","18","0.445248"
"FUBP3","far upstream element (FUSE) binding protein 3","0","0","10","0.44485"
"CDKN1C","cyclin-dependent kinase inhibitor 1C (P57)","1","0","5","0.444848"
"MEOX2","mesenchyme homeobox 2","0","0","7","0.443826"
"LRP12","low density lipoprotein-related protein 12","0","0","9","0.44326"
"ABHD3","abhydrolase domain containing 3","0","0","6","0.44129"
"DDIT4","DNA-damage-inducible transcript 4","1","0","8","0.44129"
"KCNA4","potassium voltage-gated channel, shaker-related subfamily, member 4","0","0","12","0.44129"
"SNCB","synuclein, beta","0","0","4","0.44129"
"TOB1","transducer of ErbB-2.1","0","1","4","0.44129"
"DYNLL2","dynein light chain LC8-type 2","1","0","11","0.439691"
"ESRRG","estrogen-related receptor gamma","0","0","20","0.439532"
"BC060632","","0","0","5","0.437788"
"SMAD2","MAD homolog 2 (Drosophila)","9","1","10","0.437788"
"USP38","ubiquitin specific peptidase 38","0","0","8","0.436921"
"CBFB","core binding factor beta","0","0","14","0.436304"
"GLRA2","glycine receptor, alpha 2 subunit","1","0","9","0.435484"
"TNF","tumor necrosis factor","29","20","6","0.435484"
"PHOX2B","paired-like homeobox 2b","0","0","10","0.434341"
"AKAP1","A kinase (PRKA) anchor protein 1","0","0","7","0.433854"
"E2F5","E2F transcription factor 5","2","0","7","0.433854"
"ANKRD17","ankyrin repeat domain 17","0","0","11","0.433411"
"ACVR1","activin A receptor, type 1","2","1","8","0.432638"
"SERTAD3","SERTA domain containing 3","0","0","4","0.432638"
"MEX3C","mex3 homolog C (C. elegans)","0","0","12","0.432637"
"DDX3X","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked","1","0","16","0.430527"
"GPCPD1","glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae)","0","0","11","0.427306"
"4930511I11RIK","RIKEN cDNA 4930511I11 gene","0","0","1","0.424318"
"CDC16","CDC16 cell division cycle 16 homolog (S. cerevisiae)","4","0","1","0.424318"
"DYRK3","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3","0","0","1","0.424318"
"FAM160A1","family with sequence similarity 160, member A1","0","0","3","0.424318"
"GGT1","gamma-glutamyltransferase 1","6","0","1","0.424318"
"NCKAP5","NCK-associated protein 5","0","0","9","0.424318"
"PHACTR2","phosphatase and actin regulator 2","0","0","10","0.424318"
"RUVBL2","RuvB-like protein 2","0","0","1","0.424318"
"SENP3","SUMO/sentrin specific peptidase 3","0","0","3","0.424318"
"ARHGAP21","Rho GTPase activating protein 21","0","0","7","0.424317"
"BACH2","BTB and CNC homology 2","0","0","12","0.424317"
"BEST1","bestrophin 1","0","0","2","0.424317"
"SRRD","SRR1 domain containing","0","0","2","0.424317"
"SRSF9","serine/arginine-rich splicing factor 9","1","0","2","0.424317"
"SYNCRIP","synaptotagmin binding, cytoplasmic RNA interacting protein","0","0","21","0.424317"
"IQGAP2","IQ motif containing GTPase activating protein 2","1","0","5","0.424316"
"ZFPM2","zinc finger protein, multitype 2","0","0","13","0.421822"
"USP33","ubiquitin specific peptidase 33","0","0","9","0.420723"
"SRSF7","serine/arginine-rich splicing factor 7","1","0","8","0.420277"
"CNIH","cornichon homolog (Drosophila)","0","0","6","0.418947"
"CXXC5","CXXC finger 5","0","0","6","0.418947"
"PPP6C","protein phosphatase 6, catalytic subunit","0","0","5","0.417888"
"CABYR","calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2)","0","0","3","0.41371"
"CRELD1","cysteine-rich with EGF-like domains 1","0","0","3","0.41371"
"SETDB1","SET domain, bifurcated 1","1","0","3","0.41371"
"FMR1","fragile X mental retardation syndrome 1 homolog","0","0","16","0.412421"
"TBL1XR1","transducin (beta)-like 1X-linked receptor 1","1","0","26","0.412124"
"OTUD4","OTU domain containing 4","0","0","20","0.411652"
"ZCCHC11","zinc finger, CCHC domain containing 11","0","0","5","0.411652"
"PIK3CB","phosphatidylinositol 3-kinase, catalytic, beta polypeptide","40","0","10","0.411651"
"RFX7","regulatory factor X, 7","0","0","15","0.411651"
"ELAVL4","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)","0","0","14","0.410775"
"RBM24","RNA binding motif protein 24","0","0","9","0.410291"
"CYR61","cysteine rich protein 61","0","0","4","0.408603"
"RAB5A","RAB5A, member RAS oncogene family","5","2","4","0.408603"
"CARD11","caspase recruitment domain family, member 11","2","0","2","0.408602"
"SERTAD2","SERTA domain containing 2","0","0","20","0.407094"
"MECP2","methyl CpG binding protein 2","0","0","26","0.406287"
"GNAI2","guanine nucleotide binding protein (G protein), alpha inhibiting 2","11","0","5","0.405597"
"HNRNPH2","heterogeneous nuclear ribonucleoprotein H2","0","0","5","0.405597"
"ZIC2","zinc finger protein of the cerebellum 2","1","0","5","0.405597"
"H3F3B","H3 histone, family 3B","1","0","8","0.404853"
"B4GALT2","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2","5","0","6","0.403619"
"CCNA2","cyclin A2","2","0","6","0.403619"
"EIF2C4","eukaryotic translation initiation factor 2C, 4","0","0","9","0.403619"
"REV1","REV1 homolog (S. cerevisiae)","0","0","3","0.403619"
"WBP7","WW domain binding protein 7","0","0","3","0.403619"
"RPH3A","rabphilin 3A","0","0","7","0.402217"
"JARID2","jumonji, AT rich interactive domain 2","0","0","11","0.401837"
"HOXC8","homeobox C8","0","0","4","0.401175"
"RNPEPL1","arginyl aminopeptidase (aminopeptidase B)-like 1","0","0","4","0.401175"
"MAFB","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)","0","0","8","0.401173"
"PHF3","PHD finger protein 3","0","0","9","0.400365"
"NONO","non-POU-domain-containing, octamer binding protein","0","0","5","0.399719"
"TIAM2","T-cell lymphoma invasion and metastasis 2","2","0","5","0.399719"
"ACSL4","acyl-CoA synthetase long-chain family member 4","5","0","16","0.399358"
"UBE4B","ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)","2","0","6","0.398757"
"SPOPL","speckle-type POZ protein-like","0","0","7","0.398071"
"PPP3R1","protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)","13","0","11","0.396584"
"MLL1","myeloid/lymphoid or mixed-lineage leukemia 1","0","0","21","0.395354"
"AFP","alpha fetoprotein","0","0","1","0.39401"
"DDX3Y","DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked","1","0","10","0.39401"
"EPHB6","Eph receptor B6","1","0","1","0.39401"
"HES7","hairy and enhancer of split 7 (Drosophila)","0","0","1","0.39401"
"KLHL11","kelch-like 11 (Drosophila)","0","0","1","0.39401"
"NCDN","neurochondrin","0","0","7","0.39401"
"1600021P15RIK","RIKEN cDNA 1600021P15 gene","0","0","9","0.394009"
"HMBS","hydroxymethylbilane synthase","2","1","2","0.394009"
"HMGB2","high mobility group box 2","0","2","2","0.394009"
"KCTD6","potassium channel tetramerisation domain containing 6","0","0","3","0.394009"
"PPM1G","protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform","0","0","2","0.394009"
"SLC35F3","solute carrier family 35, member F3","0","0","9","0.394009"
"TMEM54","transmembrane protein 54","0","0","2","0.394009"
"GRM3","glutamate receptor, metabotropic 3","1","0","4","0.394008"
"MAP2K1","mitogen-activated protein kinase kinase 1","37","44","8","0.394008"
"SLC2A1","solute carrier family 2 (facilitated glucose transporter), member 1","3","1","6","0.394008"
"SUN2","Sad1 and UNC84 domain containing 2","0","0","6","0.394008"
"ZFP784","zinc finger protein 784","0","0","6","0.394008"
"FUBP1","far upstream element (FUSE) binding protein 1","0","0","18","0.392452"
"JAG1","jagged 1","1","1","10","0.391215"
"VCAN","versican","1","0","9","0.390907"
"KPNB1","karyopherin (importin) beta 1","1","1","16","0.390522"
"RSPRY1","ring finger and SPRY domain containing 1","0","0","7","0.39003"
"SLC25A32","solute carrier family 25, member 32","0","0","6","0.389374"
"FRYL","furry homolog-like (Drosophila)","0","0","11","0.388957"
"ZEB2","zinc finger E-box binding homeobox 2","0","0","21","0.38872"
"IGF2BP2","insulin-like growth factor 2 mRNA binding protein 2","0","0","10","0.38846"
"BCL2L11","BCL2-like 11 (apoptosis facilitator)","0","0","18","0.387853"
"MYB","myeloblastosis oncogene","0","0","9","0.387852"
"DNM2","dynamin 2","3","0","4","0.387097"
"NRBF2","nuclear receptor binding factor 2","0","0","6","0.384847"
"EPC2","enhancer of polycomb homolog 2 (Drosophila)","0","0","12","0.384846"
"PDE4A","phosphodiesterase 4A, cAMP specific","1","0","3","0.384846"
"SRF","serum response factor","1","7","11","0.384035"
"ADM","adrenomedullin","1","0","5","0.383064"
"SIAH1A","seven in absentia 1A","3","0","5","0.383064"
"TAF5","TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor","1","0","7","0.382306"
"BCL6","B-cell leukemia/lymphoma 6","0","0","9","0.381886"
"LIN28A","lin-28 homolog A (C. elegans)","0","0","13","0.381434"
"ATRX","alpha thalassemia/mental retardation syndrome X-linked homolog (human)","0","0","15","0.381299"
"CAMTA1","calmodulin binding transcription activator 1","0","0","21","0.381048"
"1700102P08RIK","RIKEN cDNA 1700102P08 gene","0","0","2","0.380423"
"BTBD10","BTB (POZ) domain containing 10","0","0","6","0.380422"
"ESRRA","estrogen related receptor, alpha","0","1","6","0.380422"
"G3BP2","GTPase activating protein (SH3 domain) binding protein 2","0","0","14","0.380422"
"ZFP148","zinc finger protein 148","0","0","24","0.380422"
"S1PR1","sphingosine-1-phosphate receptor 1","1","1","9","0.37897"
"REV3L","REV3-like, catalytic subunit of DNA polymerase zeta RAD54 like (S. cerevisiae)","1","0","7","0.378559"
"ROBO1","roundabout homolog 1 (Drosophila)","1","0","12","0.378248"
"CTCF","CCCTC-binding factor","0","0","8","0.377172"
"EN2","engrailed 2","0","0","8","0.377172"
"RNF38","ring finger protein 38","0","0","17","0.376603"
"CAND1","cullin associated and neddylation disassociated 1","0","0","3","0.3761"
"DYNC1I1","dynein cytoplasmic 1 intermediate chain 1","2","0","3","0.3761"
"PPP1CB","protein phosphatase 1, catalytic subunit, beta isoform","6","0","9","0.3761"
"RALBP1","ralA binding protein 1","2","2","7","0.374882"
"PPP2R5E","protein phosphatase 2, regulatory subunit B (B56), epsilon isoform","2","1","15","0.374398"
"SMOC1","SPARC related modular calcium binding 1","0","0","8","0.373976"
"RASD1","RAS, dexamethasone-induced 1","0","0","4","0.373974"
"FBXO33","F-box protein 33","0","0","11","0.372254"
"SLMAP","sarcolemma associated protein","0","0","11","0.372254"
"BTG2","B-cell translocation gene 2, anti-proliferative","0","0","13","0.371553"
"TCF4","transcription factor 4","0","0","20","0.371457"
"FLOT2","flotillin 2","1","0","7","0.371278"
"NAA15","N(alpha)-acetyltransferase 15, NatA auxiliary subunit","0","0","8","0.370832"
"NFAT5","nuclear factor of activated T-cells 5","6","0","24","0.370832"
"ZFP36L2","zinc finger protein 36, C3H type-like 2","0","0","9","0.370486"
"ACTG1","actin, gamma, cytoplasmic 1","11","1","2","0.367742"
"BAG5","BCL2-associated athanogene 5","0","0","2","0.367742"
"CHD9","chromodomain helicase DNA binding protein 9","0","0","17","0.367742"
"MCF2","mcf.2 transforming sequence","0","0","3","0.367742"
"MMP14","matrix metallopeptidase 14 (membrane-inserted)","1","0","3","0.367742"
"OSBPL3","oxysterol binding protein-like 3","0","0","2","0.367742"
"PHLDA1","pleckstrin homology-like domain, family A, member 1","0","0","3","0.367742"
"SIM2","single-minded homolog 2 (Drosophila)","0","0","2","0.367742"
"AAMP","angio-associated migratory protein","0","0","1","0.367741"
"C1QBP","complement component 1, q subcomponent binding protein","0","0","1","0.367741"
"CCT4","chaperonin containing Tcp1, subunit 4 (delta)","0","1","1","0.367741"
"ICA1","islet cell autoantigen 1","1","0","1","0.367741"
"RPL41","ribosomal protein L41","1","0","1","0.367741"
"SLC7A7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7","1","0","1","0.367741"
"TPR","translocated promoter region","3","0","1","0.367741"
"ZFAND6","zinc finger, AN1-type domain 6","0","0","6","0.367741"
"TNRC6B","trinucleotide repeat containing 6b","0","0","27","0.366836"
"PTEN","phosphatase and tensin homolog","11","6","22","0.366631"
"WDR47","WD repeat domain 47","0","0","9","0.365038"
"CBX4","chromobox homolog 4 (Drosophila Pc class)","0","0","6","0.363701"
"WASF1","WASP family 1","4","3","6","0.363701"
"PRNP","prion protein","1","0","5","0.362904"
"ITPR1","inositol 1,4,5-triphosphate receptor 1","13","0","9","0.362373"
"ZFP423","zinc finger protein 423","0","0","4","0.361715"
"CLCN3","chloride channel 3","0","0","12","0.361714"
"HECTD2","HECT domain containing 2","0","0","12","0.361714"
"SYBU","syntabulin (syntaxin-interacting)","0","0","8","0.361713"
"SIX4","sine oculis-related homeobox 4 homolog (Drosophila)","0","0","15","0.361318"
"ITGA5","integrin alpha 5 (fibronectin receptor alpha)","9","0","7","0.360868"
"ARRDC3","arrestin domain containing 3","0","0","16","0.360237"
"DYRK1B","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b","0","1","3","0.359748"
"FAM117A","family with sequence similarity 117, memberA","0","0","6","0.359748"
"LRP1","low density lipoprotein receptor-related protein 1","2","0","3","0.359748"
"NUP35","nucleoporin 35","1","0","3","0.359748"
"PSD","pleckstrin and Sec7 domain containing","1","0","3","0.359748"
"SLITRK4","SLIT and NTRK-like family, member 4","0","0","6","0.359748"
"PCNP","PEST proteolytic signal containing nuclear protein","0","0","9","0.359747"
"ACSL1","acyl-CoA synthetase long-chain family member 1","5","0","8","0.358773"
"SERPINE1","serine (or cysteine) peptidase inhibitor, clade E, member 1","3","2","8","0.358773"
"RAP2C","RAP2C, member of RAS oncogene family","0","0","10","0.35819"
"PAFAH1B1","platelet-activating factor acetylhydrolase, isoform 1b, subunit 1","2","0","17","0.357917"
"MIER3","mesoderm induction early response 1, family member 3","0","0","16","0.35732"
"DAG1","dystroglycan 1","5","1","9","0.35716"
"DACH1","dachshund 1 (Drosophila)","0","0","13","0.356764"
"RBFOX2","RNA binding protein, fox-1 homolog (C. elegans) 2","0","0","13","0.356764"
"SULF1","sulfatase 1","0","0","8","0.35588"
"ANKHD1","ankyrin repeat and KH domain containing 1","0","0","2","0.355879"
"MAP3K10","mitogen-activated protein kinase kinase kinase 10","1","1","2","0.355879"
"NAP1L5","nucleosome assembly protein 1-like 5","0","0","4","0.355878"
"BTBD3","BTB (POZ) domain containing 3","0","0","11","0.354839"
"UBL3","ubiquitin-like 3","0","0","9","0.354609"
"CLDN11","claudin 11","4","0","5","0.353598"
"2610507B11RIK","RIKEN cDNA 2610507B11 gene","0","0","3","0.352093"
"DDX49","DEAD (Asp-Glu-Ala-Asp) box polypeptide 49","0","0","3","0.352093"
"FUT8","fucosyltransferase 8","3","0","6","0.352093"
"HCN1","hyperpolarization-activated, cyclic nucleotide-gated K+ 1","0","0","3","0.352093"
"UXS1","UDP-glucuronate decarboxylase 1","3","0","3","0.352093"
"DIP2C","DIP2 disco-interacting protein 2 homolog C (Drosophila)","0","0","10","0.351346"
"LCORL","ligand dependent nuclear receptor corepressor-like","0","0","17","0.351214"
"MED26","mediator complex subunit 26","0","0","4","0.35023"
"TSC22D3","TSC22 domain family, member 3","0","0","8","0.35023"
"FBXO11","F-box protein 11","0","0","7","0.347864"
"MYT1","myelin transcription factor 1","0","3","8","0.347473"
"WEE1","WEE 1 homolog 1 (S. pombe)","1","2","8","0.347473"
"PPM1B","protein phosphatase 1B, magnesium dependent, beta isoform","1","0","10","0.346926"
"KPNA1","karyopherin (importin) alpha 1","0","0","13","0.346423"
"RC3H2","ring finger and CCCH-type zinc finger domains 2","0","0","17","0.34603"
"PCDH8","protocadherin 8","0","0","5","0.344759"
"RTN1","reticulon 1","0","0","5","0.344759"
"1700025K23RIK","RIKEN cDNA 1700025K23 gene","0","0","1","0.344758"
"BC089491","cDNA sequence BC089491","0","0","1","0.344758"
