"TARGET_GENE","GENE_DESCRIPTION","KEGG","BIOCARTA","OBSERVED_MIRNA","OE"
"DGKZ","diacylglycerol kinase zeta","4","0","6","0.57479"
"MCF2","mcf.2 transforming sequence","0","0","6","0.57479"
"NOG","noggin","1","1","6","0.57479"
"CDC34","cell division cycle 34 homolog (S. cerevisiae)","1","2","2","0.574789"
"ILK","integrin linked kinase","4","1","2","0.574789"
"LRP5","low density lipoprotein receptor-related protein 5","1","0","2","0.574789"
"RPL41","ribosomal protein L41","1","0","2","0.574789"
"CDH10","cadherin 10","0","0","5","0.567227"
"NAGPA","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase","1","0","5","0.567227"
"RSPRY1","ring finger and SPRY domain containing 1","0","0","13","0.566082"
"PLK2","polo-like kinase 2 (Drosophila)","0","0","8","0.565369"
"RAB34","RAB34, member of RAS oncogene family","0","0","8","0.565369"
"ZFP423","zinc finger protein 423","0","0","8","0.565369"
"EZH2","enhancer of zeste homolog 2 (Drosophila)","0","0","6","0.562295"
"CFL2","cofilin 2, muscle","3","0","23","0.560177"
"EIF1B","eukaryotic translation initiation factor 1B","1","0","4","0.556248"
"EP300","E1A binding protein p300","12","14","13","0.554872"
"DLL1","delta-like 1 (Drosophila)","1","1","9","0.554263"
"MAP3K9","mitogen-activated protein kinase kinase kinase 9","1","2","9","0.554263"
"HOXA5","homeobox A5","0","0","11","0.551398"
"HOXC6","homeobox C6","0","0","6","0.550331"
"NID2","nidogen 2","0","0","6","0.550331"
"GADD45A","growth arrest and DNA-damage-inducible 45 alpha","3","4","7","0.548666"
"ELAVL2","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)","0","0","28","0.541282"
"NDUFA8","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8","5","0","1","0.538867"
"PABPC4","poly(A) binding protein, cytoplasmic 4","0","0","1","0.538867"
"RTL1","retrotransposon-like 1","0","0","1","0.538867"
"EEF1A1","eukaryotic translation elongation factor 1 alpha 1","1","0","3","0.538866"
"PABPC1","poly(A) binding protein, cytoplasmic 1","1","1","3","0.538866"
"PRPF19","PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)","2","0","3","0.538866"
"RBBP8","retinoblastoma binding protein 8","0","1","3","0.538866"
"SAP30","sin3 associated polypeptide","0","0","3","0.538866"
"SETDB1","SET domain, bifurcated 1","1","0","5","0.538866"
"TOP2B","topoisomerase (DNA) II beta","0","1","3","0.538866"
"1700025K23RIK","RIKEN cDNA 1700025K23 gene","0","0","2","0.538865"
"CAR11","carbonic anhydrase 11","0","0","2","0.538865"
"CD248","CD248 antigen, endosialin","0","0","2","0.538865"
"CUEDC1","CUE domain containing 1","0","0","2","0.538865"
"MAPK7","mitogen-activated protein kinase 7","4","3","4","0.538865"
"OAZ3","ornithine decarboxylase antizyme 3","0","0","2","0.538865"
"ORF61","open reading frame 61","0","0","2","0.538865"
"CBFB","core binding factor beta","0","0","22","0.535821"
"MEX3C","mex3 homolog C (C. elegans)","0","0","19","0.535343"
"MYCN","v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)","0","0","14","0.534097"
"E2F5","E2F transcription factor 5","2","0","11","0.532812"
"GPM6A","glycoprotein m6a","0","0","22","0.53281"
"SIK1","salt inducible kinase 1","0","0","17","0.531056"
"EIF2C4","eukaryotic translation initiation factor 2C, 4","0","0","15","0.525723"
"EMX2","empty spiracles homolog 2 (Drosophila)","0","0","9","0.5243"
"CDH20","cadherin 20","0","0","12","0.522538"
"RARG","retinoic acid receptor, gamma","0","0","12","0.522538"
"MEIS2","Meis homeobox 2","0","0","16","0.522536"
"WASF1","WASP family 1","4","3","11","0.521101"
"TNRC6B","trinucleotide repeat containing 6b","0","0","49","0.520284"
"H2AFZ","H2A histone family, member Z","1","0","6","0.517311"
"MOGS","mannosyl-oligosaccharide glucosidase","3","0","3","0.517311"
"SNCB","synuclein, beta","0","0","6","0.517311"
"ARX","aristaless related homeobox","0","0","9","0.51731"
"BBC3","BCL2 binding component 3","2","0","12","0.51731"
"NOL4","nucleolar protein 4","0","0","18","0.51731"
"CTCF","CCCTC-binding factor","0","0","14","0.515837"
"NCKAP5","NCK-associated protein 5","0","0","14","0.515837"
"LYPLA2","lysophospholipase 2","1","0","8","0.514738"
"ZCCHC11","zinc finger, CCHC domain containing 11","0","0","8","0.514738"
"CAST","calpastatin","0","0","5","0.513206"
"MDFI","MyoD family inhibitor","0","0","5","0.513206"
"TAF5","TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor","1","0","12","0.512189"
"HAND1","heart and neural crest derivatives expressed transcript 1","0","1","7","0.511464"
"RASD1","RAS, dexamethasone-induced 1","0","0","7","0.511464"
"ADCY2","adenylate cyclase 2","13","0","9","0.510505"
"CAMTA1","calmodulin binding transcription activator 1","0","0","36","0.510504"
"CPEB3","cytoplasmic polyadenylation element binding protein 3","0","0","31","0.508131"
"NAP1L3","nucleosome assembly protein 1-like 3","0","0","10","0.507168"
"NR2C2AP","nuclear receptor 2C2-associated protein","0","0","6","0.507168"
"GNAI2","guanine nucleotide binding protein (G protein), alpha inhibiting 2","11","0","8","0.507166"
"NUMBL","numb-like","1","0","9","0.503876"
"SPHK2","sphingosine kinase 2","5","0","5","0.50127"
"AGFG1","ArfGAP with FG repeats 1","0","0","18","0.500624"
"SPEN","SPEN homolog, transcriptional regulator (Drosophila)","0","1","11","0.49916"
"TMEM9B","TMEM9 domain family, member B","0","0","11","0.49916"
"BCL6","B-cell leukemia/lymphoma 6","0","0","15","0.497415"
"BEST1","bestrophin 1","0","0","3","0.497414"
"DMWD","dystrophia myotonica-containing WD repeat motif","0","0","6","0.497412"
"FGF9","fibroblast growth factor 9","4","0","6","0.497412"
"GJC1","gap junction protein, gamma 1","0","0","6","0.497412"
"BTBD10","BTB (POZ) domain containing 10","0","0","10","0.495508"
"HMGB3","high mobility group box 3","0","0","10","0.495508"
"MEOX2","mesenchyme homeobox 2","0","0","10","0.495508"
"FBN1","fibrillin 1","0","0","11","0.493959"
"ZFP385A","zinc finger protein 385A","0","0","10","0.489878"
"1110012J17RIK","RIKEN cDNA 1110012J17 gene","0","0","11","0.488867"
"PDCD10","programmed cell death 10","0","0","12","0.488028"
"FUBP3","far upstream element (FUSE) binding protein 3","0","0","14","0.486718"
"GPCPD1","glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae)","0","0","16","0.485738"
"NEDD4L","neural precursor cell expressed, developmentally down-regulated gene 4-like","3","0","8","0.485736"
"PI4KB","phosphatidylinositol 4-kinase, catalytic, beta polypeptide","3","0","8","0.485736"
"DDX3X","DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked","1","0","23","0.483665"
"FMR1","fragile X mental retardation syndrome 1 homolog","0","0","24","0.483468"
"OTUD4","OTU domain containing 4","0","0","30","0.482566"
"ELAVL4","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)","0","0","21","0.481539"
"ESRRG","estrogen-related receptor gamma","0","0","28","0.4809"
"BC017612","cDNA sequence BC017612","0","0","6","0.478992"
"DLGAP3","discs, large (Drosophila) homolog-associated protein 3","0","0","4","0.478992"
"FILIP1","filamin A interacting protein 1","0","0","2","0.478992"
"LHX4","LIM homeobox protein 4","0","0","4","0.478992"
"NGF","nerve growth factor","3","4","2","0.478992"
"PICALM","phosphatidylinositol binding clathrin assembly protein","0","1","12","0.478992"
"RAP1A","RAS-related protein-1a","8","2","4","0.478992"
"TAF15","TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor","0","0","4","0.478992"
"TMEM39B","transmembrane protein 39b","0","0","2","0.478992"
"TMEM40","transmembrane protein 40","0","0","5","0.478992"
"TMSB4X","thymosin, beta 4, X chromosome","1","0","4","0.478992"
"TRIM3","tripartite motif-containing 3","0","0","6","0.478992"
"NUFIP2","nuclear fragile X mental retardation protein interacting protein 2","0","0","39","0.478991"
"PPP3R1","protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)","13","0","17","0.478991"
"SIAH1A","seven in absentia 1A","3","0","8","0.478991"
"SLC12A9","solute carrier family 12 (potassium/chloride transporters), member 9","0","0","3","0.478991"
"SMAP1","stromal membrane-associated protein 1","1","0","8","0.478991"
"1190005F20RIK","RIKEN cDNA 1190005F20 gene","0","0","1","0.47899"
"1700025F22RIK","RIKEN cDNA 1700025F22 gene","0","0","1","0.47899"
"AIF1","allograft inflammatory factor 1","0","0","1","0.47899"
"PRM1","protamine 1","0","0","1","0.47899"
"PTPLA","protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a","0","0","1","0.47899"
"ROPN1","ropporin, rhophilin associated protein 1","0","0","1","0.47899"
"TXNDC11","thioredoxin domain containing 11","0","0","1","0.47899"
"MECP2","methyl CpG binding protein 2","0","0","39","0.476278"
"LRRC4","leucine rich repeat containing 4","0","0","11","0.474201"
"ARHGAP21","Rho GTPase activating protein 21","0","0","10","0.473728"
"B4GALT2","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2","5","0","9","0.47315"
"SCN1A","sodium channel, voltage-gated, type I, alpha","0","0","18","0.47315"
"ZFHX4","zinc finger homeodomain 4","0","0","25","0.47269"
"HECTD2","HECT domain containing 2","0","0","20","0.471139"
"RNPEPL1","arginyl aminopeptidase (aminopeptidase B)-like 1","0","0","6","0.470285"
"CDK8","cyclin-dependent kinase 8","0","0","12","0.470283"
"SIRT1","sirtuin 1 (silent mating type information regulation 2, homolog) 1 (S. cerevisiae)","0","1","18","0.470283"
"PTEN","phosphatase and tensin homolog","11","6","36","0.468862"
"B3GAT3","beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)","3","0","5","0.468579"
"TAOK1","TAO kinase 1","1","0","40","0.468579"
"GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase)","3","0","9","0.467451"
"UBE4B","ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)","2","0","9","0.467451"
"CRTAP","cartilage associated protein","0","0","4","0.466046"
"NTF3","neurotrophin 3","2","0","4","0.466046"
"USP47","ubiquitin specific peptidase 47","0","0","16","0.466046"
"FOS","FBJ osteosarcoma oncogene","8","28","8","0.466044"
"PLS3","plastin 3 (T-isoform)","0","0","11","0.464905"
"PPP1R10","protein phosphatase 1, regulatory subunit 10","0","0","11","0.464905"
"ZFP238","zinc finger protein 238","0","0","25","0.464539"
"EIF4A2","eukaryotic translation initiation factor 4A2","1","3","14","0.464254"
"GPR85","G protein-coupled receptor 85","0","0","10","0.463539"
"BAZ2A","bromodomain adjacent to zinc finger domain, 2A","0","0","22","0.462636"
"HMGB2","high mobility group box 2","0","2","3","0.461885"
"PPM1G","protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform","0","0","3","0.461885"
"TMEM54","transmembrane protein 54","0","0","3","0.461885"
"WASL","Wiskott-Aldrich syndrome-like (human)","5","3","21","0.461885"
"LMBR1L","limb region 1 like","0","0","9","0.461884"
"MORF4L2","mortality factor 4 like 2","0","0","6","0.461884"
"SEMA4C","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C","1","0","12","0.461884"
"RC3H2","ring finger and CCCH-type zinc finger domains 2","0","0","29","0.461317"
"RNF44","ring finger protein 44","0","0","20","0.461062"
"MBNL1","muscleblind-like 1 (Drosophila)","0","0","24","0.459832"
"FRAT2","frequently rearranged in advanced T-cell lymphomas 2","1","0","5","0.458609"
"HCN1","hyperpolarization-activated, cyclic nucleotide-gated K+ 1","0","0","5","0.458609"
"UBE2D3","ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)","2","0","15","0.458609"
"SYNCRIP","synaptotagmin binding, cytoplasmic RNA interacting protein","0","0","29","0.457937"
"PPP1CB","protein phosphatase 1, catalytic subunit, beta isoform","6","0","14","0.457219"
"PPP6C","protein phosphatase 6, catalytic subunit","0","0","7","0.457219"
"CHD9","chromodomain helicase DNA binding protein 9","0","0","27","0.456451"
"HNRNPU","heterogeneous nuclear ribonucleoprotein U","1","0","9","0.456451"
"1200009I06RIK","RIKEN cDNA 1200009I06 gene","0","0","2","0.453782"
"ACTR3","ARP3 actin-related protein 3 homolog (yeast)","0","5","10","0.453782"
"D230025D16RIK","RIKEN cDNA D230025D16 gene","0","0","14","0.453782"
"DYNLT1B","dynein light chain Tctex-type 1D","0","0","2","0.453782"
"KRT27","keratin 27","0","0","2","0.453782"
"LRRC16B","leucine rich repeat containing 16B","0","0","2","0.453782"
"RFX6","regulatory factor X, 6","0","0","8","0.453782"
"SCFD1","Sec1 family domain containing 1","0","0","2","0.453782"
"SH3BGRL3","SH3 domain binding glutamic acid-rich protein-like 3","0","0","2","0.453782"
"TBC1D25","TBC1 domain family, member 25","0","0","2","0.453782"
"BCAT2","branched chain aminotransferase 2, mitochondrial","4","0","4","0.453781"
"SLC25A1","solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1","0","0","4","0.453781"
"SIX4","sine oculis-related homeobox 4 homolog (Drosophila)","0","0","24","0.4518"
"ATXN1","ataxin 1","0","0","22","0.45162"
"HOXA1","homeobox A1","0","0","16","0.450815"
"RBFOX2","RNA binding protein, fox-1 homolog (C. elegans) 2","0","0","21","0.450395"
"RFX7","regulatory factor X, 7","0","0","21","0.450395"
"PNPLA6","patatin-like phospholipase domain containing 6","0","0","5","0.449054"
"PAIP2","polyadenylate-binding protein-interacting protein 2","0","0","10","0.449053"
"DNAJB9","DnaJ (Hsp40) homolog, subfamily B, member 9","0","0","11","0.447359"
"ZFAND5","zinc finger, AN1-type domain 5","0","0","14","0.447059"
"NFAT5","nuclear factor of activated T-cells 5","6","0","37","0.446791"
"BTG2","B-cell translocation gene 2, anti-proliferative","0","0","20","0.446728"
"CNTFR","ciliary neurotrophic factor receptor","2","0","6","0.445959"
"ID2","inhibitor of DNA binding 2","1","0","6","0.445959"
"NDUFS4","NADH dehydrogenase (ubiquinone) Fe-S protein 4","5","0","3","0.445958"
"TDRD7","tudor domain containing 7","0","0","3","0.445958"
"ESRRA","estrogen related receptor, alpha","0","1","9","0.445957"
"G3BP2","GTPase activating protein (SH3 domain) binding protein 2","0","0","21","0.445957"
"SLC35F3","solute carrier family 35, member F3","0","0","13","0.444778"
"SMAD2","MAD homolog 2 (Drosophila)","9","1","13","0.444778"
"TSC22D3","TSC22 domain family, member 3","0","0","13","0.444778"
"SPOPL","speckle-type POZ protein-like","0","0","10","0.444425"
"HNRNPH2","heterogeneous nuclear ribonucleoprotein H2","0","0","7","0.44377"
"USF1","upstream transcription factor 1","0","0","7","0.44377"
"ROBO1","roundabout homolog 1 (Drosophila)","1","0","18","0.443409"
"TRIB2","tribbles homolog 2 (Drosophila)","0","0","18","0.443409"
"QK","quaking","0","0","33","0.443179"
"FUBP1","far upstream element (FUSE) binding protein 1","0","0","26","0.44302"
"BACH2","BTB and CNC homology 2","0","0","16","0.442145"
"YTHDF3","YTH domain family 3","0","0","21","0.441607"
"ADAM10","a disintegrin and metallopeptidase domain 10","1","0","17","0.44148"
"MLL1","myeloid/lymphoid or mixed-lineage leukemia 1","0","0","30","0.441392"
"FAM76B","family with sequence similarity 76, member B","0","0","18","0.44089"
"1300001I01RIK","RIKEN cDNA 1300001I01 gene","0","0","10","0.439891"
"EIF3A","eukaryotic translation initiation factor 3, subunit A","1","2","10","0.439891"
"SNAP25","synaptosomal-associated protein 25","1","0","12","0.4384"
"CRTAC1","cartilage acidic protein 1","0","0","6","0.438398"
"FOXP2","forkhead box P2","0","0","25","0.438102"
"MYB","myeloblastosis oncogene","0","0","13","0.437828"
"BARHL2","BarH-like 2 (Drosophila)","0","0","7","0.43734"
"LPHN2","latrophilin 2","0","0","14","0.43734"
"NONO","non-POU-domain-containing, octamer binding protein","0","0","7","0.43734"
"VPS37D","vacuolar protein sorting 37D (yeast)","1","0","7","0.43734"
"8430427H17RIK","RIKEN cDNA 8430427H17 gene","0","0","23","0.43679"
"PPP2CA","protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform","7","14","8","0.43655"
"TCF4","transcription factor 4","0","0","30","0.435447"
"H3F3B","H3 histone, family 3B","1","0","11","0.435047"
"NAA15","N(alpha)-acetyltransferase 15, NatA auxiliary subunit","0","0","12","0.434715"
"NLK","nemo like kinase","3","1","17","0.433643"
"TNRC6A","trinucleotide repeat containing 6a","0","0","19","0.433373"
"RNF38","ring finger protein 38","0","0","25","0.432824"
"PCDH8","protocadherin 8","0","0","8","0.431094"
"PPFIA3","protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3","0","0","8","0.431094"
"ABCF2","ATP-binding cassette, sub-family F (GCN20), member 2","0","0","6","0.431093"
"ACTG1","actin, gamma, cytoplasmic 1","11","1","3","0.431093"
"ANKRD17","ankyrin repeat domain 17","0","0","14","0.431093"
"BAG5","BCL2-associated athanogene 5","0","0","3","0.431093"
"GJA1","gap junction protein, alpha 1","2","1","14","0.431093"
"GPBP1","GC-rich promoter binding protein 1","0","0","7","0.431093"
"HC","hemolytic complement","4","0","3","0.431093"
"NEDD8","neural precursor cell expressed, developmentally down-regulated gene 8","0","1","3","0.431093"
"SIM2","single-minded homolog 2 (Drosophila)","0","0","3","0.431093"
"SSX2IP","synovial sarcoma, X breakpoint 2 interacting protein","1","0","14","0.431093"
"2310057J16RIK","RIKEN cDNA 2310057J16 gene","0","0","1","0.431092"
"ACBD6","acyl-Coenzyme A binding domain containing 6","0","0","1","0.431092"
"ADAMTS7","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7","0","0","1","0.431092"
"ATP5G3","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)","5","0","2","0.431092"
"CIRH1A","cirrhosis, autosomal recessive 1A (human)","0","0","1","0.431092"
"CLPP","caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)","0","0","1","0.431092"
"DDIT4","DNA-damage-inducible transcript 4","1","0","10","0.431092"
"EXOSC8","exosome component 8","1","0","1","0.431092"
"MAP3K5","mitogen-activated protein kinase kinase kinase 5","4","5","5","0.431092"
"NKX2-9","NK2 transcription factor related, locus 9 (Drosophila)","0","0","1","0.431092"
"RBM17","RNA binding motif protein 17","1","0","1","0.431092"
"TUBB2B","tubulin, beta 2B","2","0","1","0.431092"
"ARHGAP36","Rho GTPase activating protein 36","0","0","9","0.431091"
"PAFAH1B1","platelet-activating factor acetylhydrolase, isoform 1b, subunit 1","2","0","26","0.427802"
"PHF15","PHD finger protein 15","0","0","23","0.427376"
"INPP5A","inositol polyphosphate-5-phosphatase A","3","0","11","0.427209"
"TIAM1","T-cell lymphoma invasion and metastasis 1","2","0","15","0.425421"
"CTNND2","catenin (cadherin associated protein), delta 2","0","0","14","0.425021"
"ZDHHC17","zinc finger, DHHC domain containing 17","0","0","14","0.425021"
"INSIG1","insulin induced gene 1","0","0","13","0.424561"
"KPNA3","karyopherin (importin) alpha 3","0","0","13","0.424561"
"4921528I01RIK","RIKEN cDNA 4921528I01 gene","0","0","6","0.424027"
"FLRT3","fibronectin leucine rich transmembrane protein 3","0","0","12","0.424025"
"MAP2K1","mitogen-activated protein kinase kinase 1","37","44","11","0.423394"
"SERTAD3","SERTA domain containing 3","0","0","5","0.42264"
"YPEL3","yippee-like 3 (Drosophila)","0","0","5","0.42264"
"ANKIB1","ankyrin repeat and IBR domain containing 1","0","0","20","0.422639"
"ARRDC3","arrestin domain containing 3","0","0","24","0.422294"
"STC1","stanniocalcin 1","0","0","24","0.422294"
"PGGT1B","protein geranylgeranyltransferase type I, beta subunit","0","0","9","0.421721"
"TGIF2","TGFB-induced factor homeobox 2","0","0","9","0.421721"
